"E/GPa
2V5
2kg","E/GPa
2V5
5kg","E/GPa
5V
2kg","E/GPa
5V
5kg"
197.826,179.61,226.293,198.215
220.966,185.799,193.182,189.751
224.866,182.792,199.683,186.435
,,204.265,
,,196.391,
214.553,182.734,203.963,191.467
