"E/GPa
2V5
2kg","E/GPa
2V5
5kg","E/GPa
5V
2kg","E/GPa
5V
5kg"
72.52,70.31,71.716,70.966
62.36,70.28,71.39,71.096
72,70.044,71.606,70.694
,,71.346,
,,71.709,
68.96,70.21,71.57,70.92
