"E/GPa
2V5
2kg","E/GPa
2V5
5kg","E/GPa
5V
2kg","E/GPa
5V
5kg"
103.743,103.331,107.808,106.155
113.364,104.53,95.947,103.951
111.287,101.962,97.931,102.868
,,98.052,
,,98.053,
,,93.423,
109.465,103.274,98.536,104.325
