"E/GPa
2V5
2kg","E/GPa
2V5
5kg","E/GPa
5V
2kg","E/GPa
5V
5kg"
4.959,4.053,4.673,4.262
4.759,4.037,4.686,4.238
4.73,3.973,7.031,4.269
,,4.17,
,,4.209,
4.816,4.021,4.954,4.256
